term,Jamo,alphabet
을새,ㅇㅡㄹㅅㅏㅣ,DMFTKL
을세,ㅇㅡㄹㅅㅓㅣ,DMFTJL
을쎠,ㅇㅡㄹㅅㅅㅕ,DMFTTU
음성,ㅇㅡㅁㅅㅓㅇ,DMATJD
음세,ㅇㅡㅁㅅㅓㅣ,DMATJL
이웨,ㅇㅣㅇㅜㅓㅣ,DLDNJL
자느니,ㅈㅏㄴㅡㄴㅣ,WKSMSL
자마자,ㅈㅏㅁㅏㅈㅏ,WKAKWK
자무나,ㅈㅏㅁㅜㄴㅏ,WKANSK
쟁이,ㅈㅏㅣㅇㅇㅣ,WKLDDL
쟈스라,ㅈㅑㅅㅡㄹㅏ,WITMFK
젠도,ㅈㅓㅣㄴㄷㅗ,WJLSEH
쩍다,ㅈㅈㅓㄱㄷㅏ,WWJREK
찍하,ㅈㅈㅣㄱㅎㅏ,WWLRGK
투구리,ㅌㅜㄱㅜㄹㅣ,XNRNFL
트렛,ㅌㅡㄹㅓㅣㅅ,XMFJLT
트리다,ㅌㅡㄹㅣㄷㅏ,XMFLEK
가가다,ㄱㅏㄱㅏㄷㅏ,RKRKEK
가거주,ㄱㅏㄱㅓㅈㅜ,RKRJWN
가교사,ㄱㅏㄱㅛㅅㅏ,RKRYTK
가나무,ㄱㅏㄴㅏㅁㅜ,RKSKAN
가다리,ㄱㅏㄷㅏㄹㅣ,RKEKFL
가도구,ㄱㅏㄷㅗㄱㅜ,RKEHRN
가도리,ㄱㅏㄷㅗㄹㅣ,RKEHFL
가도조,ㄱㅏㄷㅗㅈㅗ,RKEHWH
가두리,ㄱㅏㄷㅜㄹㅣ,RKENFL
가마비,ㄱㅏㅁㅏㅂㅣ,RKAKQL
가맥,ㄱㅏㅁㅏㅣㄱ,RKAKLR
가몫,ㄱㅏㅁㅗㄱㅅ,RKAHRT
가무기,ㄱㅏㅁㅜㄱㅣ,RKANRL
가부자,ㄱㅏㅂㅜㅈㅏ,RKQNWK
가사도,ㄱㅏㅅㅏㄷㅗ,RKTKEH
가수어,ㄱㅏㅅㅜㅇㅓ,RKTNDJ
가수요,ㄱㅏㅅㅜㅇㅛ,RKTNDY
가어사,ㄱㅏㅇㅓㅅㅏ,RKDJTK
가오다,ㄱㅏㅇㅗㄷㅏ,RKDHEK
가유치,ㄱㅏㅇㅠㅊㅣ,RKDBCL
가조기,ㄱㅏㅈㅗㄱㅣ,RKWHRL
가주거,ㄱㅏㅈㅜㄱㅓ,RKWNRJ
가주소,ㄱㅏㅈㅜㅅㅗ,RKWNTH
가주소,ㄱㅏㅈㅜㅅㅗ,RKWNTH
가주소,ㄱㅏㅈㅜㅅㅗ,RKWNTH
가주어,ㄱㅏㅈㅜㅇㅓ,RKWNDJ
가지도,ㄱㅏㅈㅣㄷㅗ,RKWLEH
가쪽,ㄱㅏㅈㅈㅗㄱ,RKWWHR
가차사,ㄱㅏㅊㅏㅅㅏ,RKCKTK
가차하,ㄱㅏㅊㅏㅎㅏ,RKCKGK
가처리,ㄱㅏㅊㅓㄹㅣ,RKCJFL
가투표,ㄱㅏㅌㅜㅍㅛ,RKXNVY
가포교,ㄱㅏㅍㅗㄱㅛ,RKVHRY
가포자,ㄱㅏㅍㅗㅈㅏ,RKVHWK
가하다,ㄱㅏㅎㅏㄷㅏ,RKGKEK
가하다,ㄱㅏㅎㅏㄷㅏ,RKGKEK
가후리,ㄱㅏㅎㅜㄹㅣ,RKGNFL
가가비,ㄱㅏㄱㅏㅂㅣ,RKRKQL
가가시,ㄱㅏㄱㅏㅅㅣ,RKRKTL
가객,ㄱㅏㄱㅏㅣㄱ,RKRKLR
가갸표,ㄱㅏㄱㅑㅍㅛ,RKRIVY
가거사,ㄱㅏㄱㅓㅅㅏ,RKRJTK
가거지,ㄱㅏㄱㅓㅈㅣ,RKRJWL
가거처,ㄱㅏㄱㅓㅊㅓ,RKRJCJ
가겍,ㄱㅏㄱㅓㅣㄱ,RKRJLR
가겐,ㄱㅏㄱㅓㅣㄴ,RKRJLS
가고처,ㄱㅏㄱㅗㅊㅓ,RKRHCJ
가곽,ㄱㅏㄱㅗㅏㄱ,RKRHKR
가관,ㄱㅏㄱㅗㅏㄴ,RKRHKS
가관,ㄱㅏㄱㅗㅏㄴ,RKRHKS
가관,ㄱㅏㄱㅗㅏㄴ,RKRHKS
가관,ㄱㅏㄱㅗㅏㄴ,RKRHKS
가광,ㄱㅏㄱㅗㅏㅇ,RKRHKD
가교마,ㄱㅏㄱㅛㅁㅏ,RKRYAK
가교자,ㄱㅏㄱㅛㅈㅏ,RKRYWK
가교도,ㄱㅏㄱㅛㄷㅗ,RKRYEH
가구사,ㄱㅏㄱㅜㅅㅏ,RKRNTK
가구소,ㄱㅏㄱㅜㅅㅗ,RKRNTH
가구주,ㄱㅏㄱㅜㅈㅜ,RKRNWN
가구라,ㄱㅏㄱㅜㄹㅏ,RKRNFK
가구자,ㄱㅏㄱㅜㅈㅏ,RKRNWK
가권,ㄱㅏㄱㅜㅓㄴ,RKRNJS
가궐,ㄱㅏㄱㅜㅓㄹ,RKRNJF
가그라,ㄱㅏㄱㅡㄹㅏ,RKRMFK
가그리,ㄱㅏㄱㅡㄹㅣ,RKRMFL
가깨,ㄱㅏㄱㄱㅏㅣ,RKRRKL
가깨,ㄱㅏㄱㄱㅏㅣ,RKRRKL
가껌,ㄱㅏㄱㄱㅓㅁ,RKRRJA
가께,ㄱㅏㄱㄱㅓㅣ,RKRRJL
가꼼,ㄱㅏㄱㄱㅗㅁ,RKRRHA
가꿈,ㄱㅏㄱㄱㅜㅁ,RKRRNA
가뀌,ㄱㅏㄱㄱㅜㅣ,RKRRNL
가끔,ㄱㅏㄱㄱㅡㅁ,RKRRMA
가끔,ㄱㅏㄱㄱㅡㅁ,RKRRMA
가나부,ㄱㅏㄴㅏㅂㅜ,RKSKQN
가나구,ㄱㅏㄴㅏㄱㅜ,RKSKRN
가나그,ㄱㅏㄴㅏㄱㅡ,RKSKRM
가나다,ㄱㅏㄴㅏㄷㅏ,RKSKEK
가나슈,ㄱㅏㄴㅏㅅㅠ,RKSKTB
가넷,ㄱㅏㄴㅓㅣㅅ,RKSJLT
가넷,ㄱㅏㄴㅓㅣㅅ,RKSJLT
가누다,ㄱㅏㄴㅜㄷㅏ,RKSNEK
가느다,ㄱㅏㄴㅡㄷㅏ,RKSMEK
가니마,ㄱㅏㄴㅣㅁㅏ,RKSLAK
가니시,ㄱㅏㄴㅣㅅㅣ,RKSLTL
가다가,ㄱㅏㄷㅏㄱㅏ,RKEKRK
가다구,ㄱㅏㄷㅏㄱㅜ,RKEKRN
가다니,ㄱㅏㄷㅏㄴㅣ,RKEKSL
가다리,ㄱㅏㄷㅏㄹㅣ,RKEKFL
가닭,ㄱㅏㄷㅏㄹㄱ,RKEKFR
가더가,ㄱㅏㄷㅓㄱㅏ,RKEJRK
가더거,ㄱㅏㄷㅓㄱㅓ,RKEJRJ
가더기,ㄱㅏㄷㅓㄱㅣ,RKEJRL
가도교,ㄱㅏㄷㅗㄱㅛ,RKEHRY
가도다,ㄱㅏㄷㅗㄷㅏ,RKEHEK
가두기,ㄱㅏㄷㅜㄱㅣ,RKENRL
가두다,ㄱㅏㄷㅜㄷㅏ,RKENEK
가드거,ㄱㅏㄷㅡㄱㅓ,RKEMRJ
가드나,ㄱㅏㄷㅡㄴㅏ,RKEMSK
가드너,ㄱㅏㄷㅡㄴㅓ,RKEMSJ
가드즈,ㄱㅏㄷㅡㅈㅡ,RKEMWM
가디기,ㄱㅏㄷㅣㄱㅣ,RKELRL
가딱,ㄱㅏㄷㄷㅏㄱ,RKEEKR
가뜩,ㄱㅏㄷㄷㅡㄱ,RKEEMR
가라마,ㄱㅏㄹㅏㅁㅏ,RKFKAK
가라조,ㄱㅏㄹㅏㅈㅗ,RKFKWH
가라투,ㄱㅏㄹㅏㅌㅜ,RKFKXN
가라기,ㄱㅏㄹㅏㄱㅣ,RKFKRL
가라다,ㄱㅏㄹㅏㄷㅏ,RKFKEK
가라도,ㄱㅏㄹㅏㄷㅗ,RKFKEH
가라라,ㄱㅏㄹㅏㄹㅏ,RKFKFK
가라이,ㄱㅏㄹㅏㅇㅣ,RKFKDL
가라지,ㄱㅏㄹㅏㅈㅣ,RKFKWL
가라지,ㄱㅏㄹㅏㅈㅣ,RKFKWL
가라지,ㄱㅏㄹㅏㅈㅣ,RKFKWL
가라치,ㄱㅏㄹㅏㅊㅣ,RKFKCL
가랭,ㄱㅏㄹㅏㅣㅇ,RKFKLD
가랴쿠,ㄱㅏㄹㅑㅋㅜ,RKFIZN
가로보,ㄱㅏㄹㅗㅂㅗ,RKFHQH
가로수,ㄱㅏㄹㅗㅅㅜ,RKFHTN
가로지,ㄱㅏㄹㅗㅈㅣ,RKFHWL
가로지,ㄱㅏㄹㅗㅈㅣ,RKFHWL
가로코,ㄱㅏㄹㅗㅋㅗ,RKFHZH
가로파,ㄱㅏㄹㅗㅍㅏ,RKFHVK
가로다,ㄱㅏㄹㅗㄷㅏ,RKFHEK
가로마,ㄱㅏㄹㅗㅁㅏ,RKFHAK
가료비,ㄱㅏㄹㅛㅂㅣ,RKFYQL
가루지,ㄱㅏㄹㅜㅈㅣ,RKFNWL
가루차,ㄱㅏㄹㅜㅊㅏ,RKFNCK
가루다,ㄱㅏㄹㅜㄷㅏ,RKFNEK
